gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
NPTX2,0.05144854510750285,-2.967173094895822,0.007042235151752186,0.005944996701834574,0.44524041415564264,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
FCRL1,0.031744837400927574,-3.450025168410089,0.004185273490121684,0.0029939642421809806,0.3365887566102784,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ATXN7L3,0.022420788185613324,-3.797766706487136,0.004973459408379143,0.0015838842457832334,0.31737909143452353,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
CHPT1,0.8441469741241073,-0.16942865958930917,0.522746880003558,0.5020722075719433,1.4192861169690982,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5876713034529559
KIF13B,0.04893192262494842,-3.017325281075828,0.008703401574778816,0.005135814439806464,0.46620318546091544,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
H2AJ,0.15309026921050886,-1.8767275367283023,0.02468738167552867,0.029769886922620812,0.7872596421969488,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.12871663574028444
DHPS,0.03515284849075603,-3.3480496258650345,0.0051192380771764795,0.003372450442882372,0.36641687637606885,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
TMEM26,0.6697306210108992,-0.4008797056368791,0.2854758944950955,0.3209419884780354,1.3975706539574262,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.38021752936112774
ALOX5AP,0.7924398985667954,-0.23263861387713564,0.39048352811047027,0.4659830914896854,1.3476046755968032,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.4741759046405844
PSMA3,0.6717205110389836,-0.3979129311639448,0.4162904039064732,0.257343813268112,1.7533292882404936,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.49740933065253623
RP2,0.04507038121874424,-3.099529983945167,0.003876202503094568,0.005500020791284697,0.3693330153263753,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
H4C3,0.2754370141146299,-1.2893963004309363,0.06848522038945086,0.0687981180767228,1.1027270929094093,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.16475386339325693
