gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
NOXO1,0.7912592201243337,-0.2341296529858492,0.24518020143924701,0.5331280457573956,1.1743729455131249,256,age+stage+tumor_fraction,zscore
AOC3,1.5854362296838367,0.4608595932374199,0.0017119445281601159,1.188675186733768,2.114629855529307,256,age+stage+tumor_fraction,zscore
ZNF687,1.3030999499524978,0.26474600276222865,0.0537608629018429,0.9957258066050575,1.7053585116527175,256,age+stage+tumor_fraction,zscore
GDPD2,1.385939277344767,0.32637808836840027,0.035501621806550754,1.0223862639389174,1.8787690604200986,256,age+stage+tumor_fraction,zscore
C19orf53,1.3955061871922172,0.33325720765851885,0.032389131552419764,1.0283709574848303,1.893711120795131,256,age+stage+tumor_fraction,zscore
SEC14L4,1.4352664065671688,0.3613504811566361,0.06826438206655062,0.9732699797511707,2.116565496396896,256,age+stage+tumor_fraction,zscore
CALM3,0.8183473540013526,-0.20046839436918842,0.3940694715356158,0.5160816268281295,1.297648195532531,256,age+stage+tumor_fraction,zscore
COPS3,1.0727427735297048,0.07021870846942202,0.7595102461254244,0.684300755072929,1.681683162891673,256,age+stage+tumor_fraction,zscore
FKBP8,1.2208143799290667,0.19951816058178434,0.2463024554331153,0.871295913454624,1.7105414213780876,256,age+stage+tumor_fraction,zscore
DDX39B,0.8440298419416301,-0.16956742726050392,0.4057518708685133,0.5659137245394628,1.2588250526487035,256,age+stage+tumor_fraction,zscore
GIPC1,1.3084578884357339,0.2688492593870542,0.15683011180701256,0.9018303140069431,1.898430357927088,256,age+stage+tumor_fraction,zscore
TLCD1,0.8273461454910491,-0.18953211591650196,0.44989753645215214,0.5060236007307604,1.3527069557040259,256,age+stage+tumor_fraction,zscore
PLSCR3,1.0705069092837984,0.06813228328534106,0.6387248596323277,0.8054921258844894,1.4227141470389608,256,age+stage+tumor_fraction,zscore
PTGER1,1.5327680918906164,0.42707531114057734,0.00691996576638899,1.1242689999584323,2.0896938576131374,256,age+stage+tumor_fraction,zscore
ARHGEF25,0.8981963236161026,-0.10736661139398739,0.5518623553907956,0.6306178945871868,1.2793113590371534,256,age+stage+tumor_fraction,zscore
XAB2,0.7673919785293203,-0.26475755401343865,0.23288179624352662,0.4967165103204508,1.1855664880783385,256,age+stage+tumor_fraction,zscore
CDC37,1.2800805635407015,0.24692301621704354,0.20099348216720925,0.876737598129775,1.8689813835406353,256,age+stage+tumor_fraction,zscore
RAB4A,0.9360281898115707,-0.06610968563800823,0.8160514005572974,0.5362751002465943,1.6337673923682974,256,age+stage+tumor_fraction,zscore
TRIP10,0.8353054718597896,-0.17995778646980679,0.4095947637939763,0.544607581751561,1.2811706166022467,256,age+stage+tumor_fraction,zscore
CD70,1.088519209431054,0.08481824915370147,0.5804697156158938,0.8057661411900409,1.4704937434457839,256,age+stage+tumor_fraction,zscore
COPS6,0.6949910447961158,-0.36385631868580437,0.024485144947381347,0.5061662649870101,0.9542567052729056,256,age+stage+tumor_fraction,zscore
UBB,1.2115670845088098,0.191914632839891,0.3976879658632867,0.77660025855624,1.8901549208779653,256,age+stage+tumor_fraction,zscore
AP4M1,0.8374998165799634,-0.17733423429193854,0.45290470128232174,0.5270813909707867,1.3307355463254202,256,age+stage+tumor_fraction,zscore
GYG1,1.1876076746161786,0.17194092617707105,0.31325759682166937,0.8502315743141332,1.6588562827074513,256,age+stage+tumor_fraction,zscore
