gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
B4GALT3,0.780826187883102,-0.24740270463640035,0.08726159236867635,0.5880364484691482,1.0368226957211228,256,age+stage+tumor_fraction,zscore
TMCO1,0.7561778633663327,-0.27947866147093037,0.06820291076669284,0.5599848858948763,1.0211078467439474,256,age+stage+tumor_fraction,zscore
BMPR1B,0.742250585309914,-0.29806837677688947,0.025294394061807755,0.5716447426006718,0.9637732849364655,256,age+stage+tumor_fraction,zscore
CEBPE,0.8386343853447294,-0.17598044181309594,0.32881512981541666,0.589078892136919,1.1939107675904692,256,age+stage+tumor_fraction,zscore
ZNF101,0.9142200873185872,-0.08968394076125365,0.6321301220199003,0.6332705920102143,1.319812381313491,256,age+stage+tumor_fraction,zscore
GET3,0.7067447231499961,-0.34708574879641524,0.009034512629294363,0.544627441306575,0.917118870290634,256,age+stage+tumor_fraction,zscore
ATP6V1A,1.0029096852935364,0.0029054603527971074,0.9850152188149907,0.7406011015800787,1.3581236035291302,256,age+stage+tumor_fraction,zscore
PMP2,0.7012908106016967,-0.354832626902141,0.015266185345131729,0.5265013093271029,0.9341074605549283,256,age+stage+tumor_fraction,zscore
TMEM171,0.7586601422004862,-0.2762013723524905,0.05399375674892478,0.5728427266054867,1.0047525867602574,256,age+stage+tumor_fraction,zscore
CHERP,0.8719395079419567,-0.1370352291056764,0.3777340146438918,0.6430549849203864,1.1822915976682586,256,age+stage+tumor_fraction,zscore
PKDREJ,0.9895168569662349,-0.010538478242042985,0.9488913798607466,0.7169315793350056,1.3657420574618109,256,age+stage+tumor_fraction,zscore
EPHA3,0.7134981331076824,-0.337575458596094,0.031692659142874814,0.5243680483160005,0.97084402374067,256,age+stage+tumor_fraction,zscore
NAV2,0.7415391489231681,-0.29902732186843484,0.0726382220439127,0.5349841472996483,1.0278441186738656,256,age+stage+tumor_fraction,zscore
ROBO2,0.7551259336143559,-0.2808707441533874,0.05612246833496192,0.5660480921167051,1.0073617128266696,256,age+stage+tumor_fraction,zscore
SPDYA,0.7361660971562403,-0.3062995102301204,0.043791636749203854,0.5465806271135646,0.991510667811595,256,age+stage+tumor_fraction,zscore
NUP188,0.7746527663549124,-0.25534039344324677,0.08334214576189633,0.5802172534143678,1.034245198483887,256,age+stage+tumor_fraction,zscore
PBX1,0.6786790824000681,-0.3876068958445177,0.019638381087261923,0.49006793533680804,0.9398805016101272,256,age+stage+tumor_fraction,zscore
MAGI3,0.8980043374131506,-0.1075803806101429,0.5096721355397316,0.6522212647016216,1.2364083075116372,256,age+stage+tumor_fraction,zscore
ST6GALNAC3,0.8619033187026924,-0.1486121738863851,0.4038480309429806,0.6080241762313799,1.2217891324571566,256,age+stage+tumor_fraction,zscore
ARL13A,0.8010449771447958,-0.22183818224825744,0.1368945904450088,0.5980110686299235,1.0730120044082376,256,age+stage+tumor_fraction,zscore
ADARB2,0.75489750522494,-0.28117329361756516,0.027221042417400775,0.5881794066577257,0.9688714649720098,256,age+stage+tumor_fraction,zscore
GAN,0.694940432367774,-0.36392914591390274,0.007142511018514177,0.5330822303846238,0.9059431678881161,256,age+stage+tumor_fraction,zscore
CPNE8,0.7234174479105029,-0.3237688404427261,0.028287334233215573,0.541671185432197,0.966144808909819,256,age+stage+tumor_fraction,zscore
H1-3,0.7505867382653314,-0.28690006061564954,0.03960818576680631,0.5711187297186168,0.9864506666369701,256,age+stage+tumor_fraction,zscore
HOOK2,0.7639859178115942,-0.2692059221692686,0.09166655052918929,0.5587621040610204,1.0445849465673194,256,age+stage+tumor_fraction,zscore
DLG2,0.7609985545162182,-0.2731238205753193,0.07064730102847379,0.5659515168920234,1.0232657439564072,256,age+stage+tumor_fraction,zscore
LRRTM4,0.7664745146519408,-0.26595383020940666,0.09910075490512515,0.558770385055969,1.0513856806353172,256,age+stage+tumor_fraction,zscore
SERP2,0.7752253858533451,-0.25460147145293255,0.12034219294334966,0.5622260922877571,1.0689194384878864,256,age+stage+tumor_fraction,zscore
ADAM17,0.8652160288324513,-0.14477605891620512,0.3703327575617136,0.6303243108737587,1.1876406536039927,256,age+stage+tumor_fraction,zscore
A1CF,0.7504668031684134,-0.2870598618404062,0.06924567866623953,0.5506049111877436,1.0228757702921756,256,age+stage+tumor_fraction,zscore
PLEKHG3,0.6663620410711787,-0.4059221509295567,0.003017237939487215,0.5095833109762827,0.871375416376644,256,age+stage+tumor_fraction,zscore
PCDH15,0.7125943917912422,-0.33884289590698635,0.01280805873553959,0.5457151169459382,0.9305052241435985,256,age+stage+tumor_fraction,zscore
TERB1,0.9047347491130733,-0.10011347314559799,0.516646489336548,0.6685287428245328,1.2243975671028662,256,age+stage+tumor_fraction,zscore
SH2D6,0.7314713817322424,-0.3126971820046436,0.026151758249027872,0.5552833954952657,0.9635627260492026,256,age+stage+tumor_fraction,zscore
ASAP2,0.833736468976247,-0.18183791099794375,0.24337922800637662,0.6142568187162211,1.131638230982529,256,age+stage+tumor_fraction,zscore
RNF103,0.8065554742813591,-0.21498259980053677,0.1639420179832699,0.5958915976108523,1.0916947574046154,256,age+stage+tumor_fraction,zscore
ZNF112,0.8831828549901616,-0.12422301602299872,0.43492784922275085,0.6465835589674963,1.2063590923872902,256,age+stage+tumor_fraction,zscore
ZMAT1,0.7459527240230414,-0.29309305340977465,0.04459050370769848,0.5604003444657097,0.9929427631025378,256,age+stage+tumor_fraction,zscore
JUN,0.6963396376798926,-0.3619177525015017,0.028251015665703125,0.5039584838543213,0.9621603892758961,256,age+stage+tumor_fraction,zscore
RAB7B,1.3128201937412918,0.2721776428671608,0.10307071384654232,0.9464206089004261,1.8210686082769505,256,age+stage+tumor_fraction,zscore
TLN2,0.721066341677047,-0.3270241325084615,0.024016616350519042,0.5427931663973838,0.957890963422464,256,age+stage+tumor_fraction,zscore
TNRC6A,0.8757746824080921,-0.13264643299329873,0.39778095651671475,0.6439702943061736,1.1910196807654854,256,age+stage+tumor_fraction,zscore
C6orf89,0.7076353931233054,-0.3458262994011726,0.01914612195548535,0.529852366689949,0.9450705160175209,256,age+stage+tumor_fraction,zscore
ZNF608,0.7270030086439659,-0.31882466301981394,0.04798938695169026,0.5300266073366713,0.9971827211339516,256,age+stage+tumor_fraction,zscore
KCNT2,0.7101306655954643,-0.3423062898293827,0.02745156184091813,0.5238405285154998,0.962670001208461,256,age+stage+tumor_fraction,zscore
MAP1B,0.6792006395739818,-0.38683870232763684,0.013324058975736384,0.49998382546572384,0.922656864685578,256,age+stage+tumor_fraction,zscore
SUCLG1,0.7717327781000615,-0.2591169312358879,0.11347699176012634,0.5599054013327821,1.0637001882395813,256,age+stage+tumor_fraction,zscore
SWT1,0.7136978061595699,-0.33729564690703767,0.014529866738398007,0.5445465520769773,0.9353921286879784,256,age+stage+tumor_fraction,zscore
REPIN1,0.87950877164362,-0.12839174141068846,0.4072938459299763,0.6491674084167501,1.191581199808906,256,age+stage+tumor_fraction,zscore
TRAF7,0.7349677498373941,-0.307928658504211,0.035319589837587304,0.551736304694675,0.9790502975873062,256,age+stage+tumor_fraction,zscore
GPR25,0.6930240445497936,-0.36669058407408867,0.00899555215435673,0.526333440518728,0.9125058173214532,256,age+stage+tumor_fraction,zscore
