gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_transform,q_value
ZNF101,1.2686479925861285,0.23795176064359708,0.7017832314545638,0.37530560115305883,4.288419155344374,260,age+stage_num,log1p,0.7408945778930196
GET3,0.027220505511911786,-3.6037847105899035,0.005241733302284935,0.002168312919918748,0.341720013526362,260,age+stage_num,log1p,0.08094766162165955
ATP6V1A,0.9379029930330876,-0.06410875426529107,0.9364942014476884,0.1937643137463863,4.539855700631198,260,age+stage_num,log1p,0.9447139101047377
PMP2,0.0240486164928818,-3.727677810368568,0.007904471882619888,0.0015363494011657452,0.3764351746958593,260,age+stage_num,log1p,0.08094766162165955
TMEM171,0.29849115401408377,-1.2090149813822886,0.0796503327807255,0.07722850447112806,1.1536798444409662,260,age+stage_num,log1p,0.14926726818349723
CHERP,0.7215064238328944,-0.3264139973665518,0.5179629953722118,0.2682044744291994,1.940950167740593,260,age+stage_num,log1p,0.5774989718517763
PKDREJ,0.7300308929946231,-0.3146684265644145,0.5559990690219562,0.25611507781855347,2.08088141184759,260,age+stage_num,log1p,0.611925586787905
EPHA3,0.10918220124513706,-2.214737221216664,0.01936576793196941,0.017059635268762852,0.698769515346039,260,age+stage_num,log1p,0.08258983723278629
NAV2,0.22819403181880268,-1.4775589951880026,0.06505728051103758,0.04748688208737604,1.096566333032923,260,age+stage_num,log1p,0.13298287633380076
ROBO2,0.08982165886644472,-2.4099291427061313,0.03962455742090094,0.009045775465068783,0.891900360856306,260,age+stage_num,log1p,0.10374139966417728
SPDYA,0.17455456451344925,-1.7455178955956931,0.04776179127091816,0.030998238164287473,0.9829363795127899,260,age+stage_num,log1p,0.11288025215350746
NUP188,0.3369324529792147,-1.0878728049832656,0.04616967101988634,0.11564120830592571,0.9816870606390363,260,age+stage_num,log1p,0.11109370496701906
PBX1,0.12625621992856847,-2.0694419452792965,0.023214201729540203,0.021145547797247845,0.7538529256132949,260,age+stage_num,log1p,0.08587694285159618
ARL13A,0.23135154894949242,-1.463816868386824,0.026587185725679092,0.06344296588505371,0.8436481248102998,260,age+stage_num,log1p,0.08885555036971654
ADARB2,0.26263331692452835,-1.3369964518766047,0.03449311573664735,0.07604569013349553,0.9070370594006625,260,age+stage_num,log1p,0.09729064630441861
GAN,0.04522609053001219,-3.096081134558397,0.008693179205296976,0.004477202152798224,0.45684764610204065,260,age+stage_num,log1p,0.08094766162165955
CPNE8,0.12160550370995472,-2.1069730497016543,0.022193492874808148,0.01998802321258742,0.7398379707323511,260,age+stage_num,log1p,0.08514457280469875
HOOK2,0.3340718718067108,-1.0963991241043864,0.10614913534240307,0.08835660294825351,1.2631089449851398,260,age+stage_num,log1p,0.17817890575331946
DLG2,0.3357802530377362,-1.0912983417922517,0.11499272806388844,0.08643623929345083,1.304410965258514,260,age+stage_num,log1p,0.18718823395974793
LRRTM4,0.2565035747689226,-1.3606126777474823,0.035400354606091484,0.07220604179798916,0.9111991494189413,260,age+stage_num,log1p,0.09846199139500443
SERP2,0.2972134543967532,-1.2133046966492373,0.06634044053655992,0.08139448214195928,1.0852804164339451,260,age+stage_num,log1p,0.13430563449750277
ADAM17,0.7953866649716198,-0.22892691153437475,0.5415121661663791,0.38142317525517744,1.658630067225021,260,age+stage_num,log1p,0.5991636515377046
A1CF,0.11585039907832777,-2.15545558332481,0.029378310742073418,0.016659072845816036,0.8056459738681434,260,age+stage_num,log1p,0.0915695433043159
PLEKHG3,0.04622044720171556,-3.074332998680426,0.003623812664643464,0.005825180595749229,0.3667405163516312,260,age+stage_num,log1p,0.08094766162165955
PCDH15,0.07466151052177179,-2.5947905736916335,0.008569698428689118,0.010786844914707305,0.5167721606706621,260,age+stage_num,log1p,0.08094766162165955
TERB1,0.4783823554176023,-0.7373449595141802,0.2419880108762738,0.13910884030292647,1.6451123988708773,260,age+stage_num,log1p,0.3152108929471561
SH2D6,0.10925102801905812,-2.2141070352652803,0.02995739700125012,0.014797350878749902,0.8066164829788347,260,age+stage_num,log1p,0.09230171632937552
ASAP2,0.8047756423932141,-0.21719174551065562,0.5436101914613947,0.3992885032532153,1.6220447854434816,260,age+stage_num,log1p,0.6009502577285398
RNF103,0.17195728473277286,-1.760509177588207,0.07708886825789572,0.02441997945339438,1.2108653829582883,260,age+stage_num,log1p,0.14672202214907318
ZNF112,0.4426176988504497,-0.8150488637994736,0.2586291423401221,0.10761556067755157,1.8204656101980792,260,age+stage_num,log1p,0.33179540191218926
ZMAT1,0.0381893420175125,-3.265198807075841,0.01828609011769414,0.002535956482777745,0.5750989236743795,260,age+stage_num,log1p,0.08166829035096454
JUN,0.08837512718555664,-2.4261647156087935,0.016234225858789378,0.012221934317357007,0.6390283978184771,260,age+stage_num,log1p,0.08094766162165955
TLN2,0.09484729760621938,-2.355487074243482,0.0228055853148708,0.012484109697144925,0.7205968292044169,260,age+stage_num,log1p,0.08576078920854768
C6orf89,0.09374147911958075,-2.3672145076534465,0.013270704316124803,0.014396832014506892,0.6103749004414408,260,age+stage_num,log1p,0.08094766162165955
ZNF608,0.17049900864277154,-1.7690257966873664,0.036881394155018545,0.032376858462733964,0.8978607971377951,260,age+stage_num,log1p,0.10050345245231891
KCNT2,0.06690355852033184,-2.7045031216283215,0.011770136400016125,0.008157368134208694,0.5487169475547602,260,age+stage_num,log1p,0.08094766162165955
MAP1B,0.06259385216218917,-2.771088213970571,0.007495855862907987,0.008211367684300282,0.47714223490357077,260,age+stage_num,log1p,0.08094766162165955
SUCLG1,0.3849285847352833,-0.954697456094598,0.11227601804699058,0.1184832256626293,1.2505568996594454,260,age+stage_num,log1p,0.18423504485047273
SWT1,0.07946835964616225,-2.532396328413809,0.00980949771630315,0.011627822740331441,0.5431128703869266,260,age+stage_num,log1p,0.08094766162165955
REPIN1,0.432676174283139,-0.8377656961673867,0.16308533948787585,0.13331849031204135,1.4042213600987994,260,age+stage_num,log1p,0.23626995499374856
TRAF7,0.14566216441475793,-1.9264652809401561,0.045563433766078326,0.02203950798723299,0.9627014429851514,260,age+stage_num,log1p,0.11049132688273995
GPR25,0.05748332890553069,-2.85626030529499,0.007837873506282705,0.00700139666479139,0.4719534201908946,260,age+stage_num,log1p,0.08094766162165955
ZNF212,0.04062103252074501,-3.2034693041291993,0.08706856366669215,0.0010354461939559583,1.5935818709683793,260,age+stage_num,log1p,0.15741206776193786
GRK4,0.5950258323773754,-0.5191504586186493,0.6057667962413645,0.08286008680756823,4.272934712446499,260,age+stage_num,log1p,0.6557239788043643
C19orf44,0.05946888462128423,-2.8223020507567496,0.02052782604216752,0.005460801925708204,0.6476243391012514,260,age+stage_num,log1p,0.08423597088260222
NUP107,0.14560331122390865,-1.9268694015556955,0.04592034132613885,0.021953414485917498,0.9656959856046909,260,age+stage_num,log1p,0.11094373932478378
ATAD2B,0.032087277632931996,-3.4392956628304883,0.005573519250609948,0.002819516841015383,0.36516660263042594,260,age+stage_num,log1p,0.08094766162165955
BEST2,0.06672386052789717,-2.707192660976411,0.02032107026106141,0.006779169810714078,0.6567284325449458,260,age+stage_num,log1p,0.08404205272648257
SAE1,0.205011950010367,-1.5846870088091867,0.03726053675063424,0.04615062109474234,0.9107114628158585,260,age+stage_num,log1p,0.10105341287694318
JUNB,0.14446991994706782,-1.9346839595555723,0.02346135859512553,0.02710063019893499,0.770150273860879,260,age+stage_num,log1p,0.08610216268695453
REEP1,0.5546621195202064,-0.5893961442830937,0.2790086505834729,0.1908051049075078,1.6123785942717836,260,age+stage_num,log1p,0.35134898389008
NRK,0.06698862443187206,-2.703232458605132,0.015263079444855814,0.007543235368921508,0.5949006737563863,260,age+stage_num,log1p,0.08094766162165955
PRKCB,0.07194492912048284,-2.6318543259575558,0.010680032258837678,0.009539085011562268,0.5426173285883722,260,age+stage_num,log1p,0.08094766162165955
UBXN8,0.13888689013715164,-1.9740954171380696,0.047815042318352326,0.019659520823493093,0.981182014818908,260,age+stage_num,log1p,0.1129131573704946
LAMB2,0.1388311059883749,-1.9744971494730656,0.0355006695908745,0.02203666304235326,0.8746367793032757,260,age+stage_num,log1p,0.09864119861674377
MSL1,0.051260219052664174,-2.9708402846908446,0.008224891139703141,0.005660892244997192,0.4641688878019653,260,age+stage_num,log1p,0.08094766162165955
SENP7,0.5115562471204909,-0.6702977345912203,0.19117986726946412,0.1872341950152036,1.3976602615069924,260,age+stage_num,log1p,0.26469063688583155
PRKG1,0.21986592910096847,-1.5147373315748787,0.06450644079211318,0.044127550783379994,1.0954840212350745,260,age+stage_num,log1p,0.13235142374943473
ARHGEF15,0.03841009524550165,-3.2594349569215493,0.00493700729441274,0.0039581600740353435,0.37273263060945483,260,age+stage_num,log1p,0.08094766162165955
BPI,0.5743276044963294,-0.5545553059317937,0.2875958280606882,0.20666584703673888,1.5960653490455756,260,age+stage_num,log1p,0.3597466704463085
CTIF,0.07664053452929372,-2.568629170796702,0.011665973623351596,0.010412384737629593,0.5641139547704653,260,age+stage_num,log1p,0.08094766162165955
