gene,spearman_r,p_value,n_samples
ZNF512B,0.018750196506038055,0.7612689191633206,265
DNAJC5,0.011251988022272837,0.8553402520817182,265
TPD52L2,-0.010876029686772074,0.8601233138240746,265
FMR1,0.04229305570408584,0.4930074856409773,265
BCL11A,0.04001989424158123,0.5165601644200104,265
IL4,-0.10296131688145897,0.0944033960763554,265
PXMP4,0.003654469789507417,0.9527852994089647,265
DLG3,0.04265160259008657,0.4893454574729116,265
GNB1L,0.056135480490863934,0.3627078099281529,265
DBH,0.022425302087545514,0.7163229402722113,265
MMP11,0.006685351739513569,0.9137447244097873,265
SMARCB1,-0.013866607355528145,0.8222315506804229,265
VPREB3,0.09265922015968807,0.13245505347764275,265
HIP1R,0.03278833888256655,0.5951588072915155,265
NSUN5,0.02554582075905185,0.6789051982233523,265
TOP1MT,-0.07771052346115773,0.20732210346162566,265
HOXA10,0.02233824484004534,0.717377112795237,265
HOXA4,0.04243331460283613,0.4915732115805601,265
MMP14,0.04524881047384184,0.46325903029084203,265
SLC7A7,-0.017690677560535908,0.7743845900518924,265
OXA1L,-0.02661952681155403,0.6662048311363593,265
HEATR6,0.07601806608290429,0.21741909267062068,265
ICAM4,0.06524328075063242,0.2899684754597415,265
ILF2,-0.0661702792193843,0.28315505056404305,265
CHTOP,-0.0305973981538121,0.619999482385518,265
SNAPIN,-0.03749942570932611,0.5433370395723713,265
S100A4,0.0598624979866215,0.3316702642902505,265
S100A5,0.04209669324583544,0.4950192086436923,265
S100A6,0.03940984864057999,0.5229782171938284,265
SCN4A,-0.00018926890475038415,0.9975532832140915,265
ICAM2,0.02087536064779237,0.7351697712646953,265
MAPK7,-0.025224676246051195,0.6827217501465883,265
EPN2,0.008967863795268202,0.8844747617537652,265
B9D1,-0.039705520847830585,0.5198624887249648,265
SEC24B,-0.006427726773763046,0.9170564650598027,265
N4BP3,-0.024908690681050557,0.6864848817235958,265
RMND5B,0.0972526184851974,0.11423974238831693,265
NHP2,0.009176156320768625,0.8818108861706024,265
VPS9D1,-0.05508047562486179,0.3718118166460199,265
ZNF276,0.0014138741862528695,0.9817241278814791,265
C1QL4,0.04008986247383137,0.5158266590513524,265
MFSD10,0.043047874283337374,0.4853151297835039,265
LUZP1,-0.024006519649548728,0.6972713382962594,265
SLC13A2,-0.08404280969692057,0.17254717565937758,265
KCTD10,0.04792050066934726,0.437248467809657,265
POLDIP2,-0.10486013217971284,0.08845031107946776,265
SEBOX,0.03637832182207384,0.5554642749436925,265
IFT20,-0.08032062871491302,0.19242083163840357,265
COL6A1,-0.03469134582607041,0.5739567180184286,265
PCBP3,-0.022440456497295546,0.7161394910191621,265
ARAF,-0.052579353147606714,0.39395133838033336,265
CFP,0.06475930694138143,0.2935689234296486,265
TIMP1,0.009360266277518998,0.8794573893558186,265
UXT,0.0030953688000062824,0.9600021606761762,265
CNNM3,-0.06003016379662184,0.3303153367079851,265
LMAN2L,0.05176488423210506,0.4013287126758416,265
MCM3AP,-0.017131576571034767,0.7813317995969636,265
PCNT,0.04199319185158523,0.49608132742547273,265
FTCD,0.043216829830337714,0.48360219694641093,265
MXD1,0.04117646589633357,0.5045047032654626,265
OCRL,-0.04037973086458196,0.5127935850492018,265
CALM1,0.03683553358857476,0.5505026715395225,265
AGPAT3,0.09590903496544467,0.11935233078920965,265
SLC26A3,0.061813225199125466,0.3161270036490042,265
SEMA6B,0.00576931603526171,0.92552663409207,265
UHRF1,0.027365317231805544,0.6574386280503786,265
DPP9,-0.039593958597330364,0.5210369878076386,265
RAMP2,0.03615616462382338,0.557882910040817,265
LSR,-0.00270490092325549,0.9650442787891534,265
GRAMD1A,-0.016744010602533985,0.7861578094695307,265
HPN,-0.05668942253236506,0.3579837032168044,265
GABRG1,0.10246186622820797,0.09602116478357589,265
CKB,-0.007317000435264852,0.9056313642515224,265
SP1,0.03486030137307076,0.5720916481173743,265
ITGB7,-0.04692514613959524,0.4468397942427854,265
MYG1,0.02478681053455031,0.687938449189019,265
RARG,0.016275836071533035,0.7919984620556516,265
PFDN5,0.011887505929024128,0.8472670832855774,265
EFNB2,0.04807043259559756,0.43581399256468845,265
RRP15,-0.0767619218976558,0.21293885622506672,265
RND2,-0.08885772035218036,0.14915691069425532,265
SRR,-0.06811616991813825,0.26920601769270786,265
SYNC,0.02960494553231009,0.6313976633218406,265
FNDC5,0.02902488631655891,0.6381003732308694,265
ACP5,-0.03207737136131511,0.6031701522571222,265
CNN1,0.03519144134782142,0.5684445822786928,265
FBXO9,-0.03279736704156657,0.5950573871087562,265
VPS50,-0.001326816938752693,0.9828492601426935,265
HARS1,-0.019697508332539977,0.7495995980769357,265
ZMAT2,0.011122691888022574,0.8569846117894792,265
UBE2C,0.013150803320526691,0.831267079575954,265
SMG5,-0.1114448844332262,0.07010040039508061,265
CCT3,-0.05041098281635232,0.41377312568742997,265
GLMP,-0.09185829348268645,0.13584844390977283,265
