gene,HR,coef,p_value,CI_lower,CI_upper,n_samples
IZUMO4,0.9977947968385892,-0.0022076382024011306,0.16931665498733042,0.994658481371648,1.0009410016041111,265
TAFA3,0.9997674659160439,-0.00023256112419814805,0.804008872787997,0.997932830778937,1.0016054739115061,265
PER2,0.9972686786125748,-0.0027350582516216747,0.21599143890948008,0.9929572002391149,1.0015988776778835,265
FOXI3,0.9990713712593424,-0.000929060183447499,0.28363125980583126,0.9973760778809379,1.000769546218429,265
ABHD16B,0.9998509721583799,-0.00014903894737231262,0.8533818308373613,0.998271813485272,1.001432628890715,265
FANCM,0.9987342408863055,-0.0012665608633810092,0.05370529083645737,0.9974499420153803,1.0000201933976993,265
UBL4B,0.9989188728064048,-0.001081712033161686,0.6125436802948817,0.9947458744113558,1.003109377095223,265
OOSP2,0.9981679569406737,-0.0018337233027110496,0.32947411175049146,0.9944959500475437,1.001853522093767,265
TMEM69,0.9972700117906451,-0.002733721423134277,0.21172075589028175,0.9930005385340025,1.0015578419375226,265
TMEM150A,0.997415547360622,-0.002587798102471125,0.264127823052579,0.9928955630952592,1.0019561080677761,265
ZNF277,0.9992348500987482,-0.0007654427778433832,0.13888729286144474,0.9982224270679033,1.000248299955244,265
AASDH,0.9712271391189252,-0.029194915163985386,0.39197077972522054,0.9084294539294265,1.0383658870602992,265
C15orf62,0.9974249682804452,-0.002578352816244471,0.08536888498928273,0.9944993597419389,1.0003591833456795,265
FTO,0.9973279499687456,-0.002675626329057637,0.1588875685437292,0.9936224473863918,1.0010472714311214,265
KRT28,0.99975057529859,-0.0002494558129242937,0.9717176121975853,0.9860583100841568,1.013632969357114,265
EMC7,0.9725633029669489,-0.02782011258285454,0.20379252530383205,0.9317166060165564,1.0152007296746335,265
PRR18,1.051316537283158,0.05004322379378035,0.2302458735388463,0.9687863030653415,1.1408774649970495,265
TRIQK,1.0023197735130585,0.0023170869924265224,0.8215076244906594,0.982345008883379,1.022700700151404,265
CLDN23,1.0029573575198958,0.002952993140714686,0.38841724253184606,0.9962495291514933,1.0097103502372926,265
IRS1,1.026376715394797,0.026034848359312003,0.39874477847715395,0.9661523178804747,1.0903551566440859,265
ZKSCAN5,1.0258176119746034,0.025489964839686335,0.4738115959186212,0.9567076778793793,1.099919857829291,265
NOD2,1.0190314695416318,0.01885263653274527,0.3503273731942632,0.9795021539684772,1.0601560514277304,265
ELAPOR2,1.0201145962679683,0.019914970267793687,0.38218259044385705,0.9755529697293969,1.066711723308695,265
RGS9BP,1.0322631977305865,0.0317536711037217,0.3023215801889291,0.9718209431620686,1.0964646490554935,265
MIA3,1.0337578752881993,0.03320058550154559,0.23018580468610153,0.979188171050363,1.091368723923655,265
S100A8,1.028977280668526,0.028565377568833605,0.18764038969134286,0.9861698985322547,1.073642833458848,265
SAG,1.0010218078662914,0.0010212861759814954,0.86187993836211,0.9895709006365118,1.0126052202822085,265
OTULINL,0.9976412230842453,-0.0023615632123877694,0.24767866764327984,0.9936547138247247,1.001643726084705,265
GRIK2,0.9975493132391984,-0.002453694608801898,0.2497027314784066,0.9933902677627268,1.0017257714685794,265
EIF3B,1.000515459892177,0.0005153270883616625,0.82965115270226,0.9958295219526809,1.0052234478049757,265
LIPM,0.9989459578901592,-0.0010545980028830054,0.8728160211496353,0.9861305576258731,1.0119279025158017,265
ST3GAL5,0.9976033716481949,-0.0023995048624038504,0.18809491172427695,0.9940452704685546,1.0011742087508162,265
FEZ2,0.9997698796108577,-0.00023014687090181453,0.8346413058189962,0.9976118768293706,1.001932550516405,265
B4GALT6,0.9958107326742529,-0.00419806689052869,0.19555117065690725,0.9895004432689061,1.0021612643580646,265
PGM3,0.9981353381377623,-0.0018664025083154688,0.08492245457442184,0.9960182260575094,1.0002569502998842,265
SOCS6,0.9979074587295248,-0.002094733693984693,0.2519938613737236,0.9943373083492328,1.0014904276711145,265
NANOS3,0.9985926125546475,-0.0014083787452678436,0.35775298481389517,0.9955998016799903,1.0015944199326348,265
CA10,0.996715557602579,-0.0032898480178967385,0.6894947685332148,0.9807591796092705,1.0129315365294895,265
CNDP1,0.9976869695086159,-0.0023157096785695937,0.13893119401535384,0.9946316076962493,1.0007517169424853,265
CNOT10,0.9986716146904616,-0.001329268395442674,0.4412957546284365,0.9952983198187004,1.0020563424342221,265
COL8A2,0.9998273951251402,-0.00017261977279558512,0.8509018288972503,0.998029397037117,1.0016286323934263,265
SNX32,0.9992223228120405,-0.0007779797357303815,0.5777540057161172,0.9964890230698588,1.0019631198043752,265
CFL1,1.000386988407929,0.0003869135472279441,0.9568282535095243,0.986470806997445,1.0144994859219163,265
PGPEP1,0.9958599615273381,-0.004148632158935225,0.04126553998233337,0.9919001464096351,0.9998355848247488,265
NPM3,0.9997088361286944,-0.00029120626773536406,0.8103791692960285,0.9973335887637172,1.0020897403772944,265
R3HDM1,0.9971333864085422,-0.0028707301972268275,0.16009610819936204,0.9931474926621869,1.0011352771231972,265
PARD6G,0.99965967590897,-0.00034038201441578255,0.7840209059890143,0.9972293950494265,1.0020958794429609,265
LRGUK,0.9986890277436596,-0.0013118323322414548,0.3713019499303122,0.9958210436650392,1.0015652716725088,265
CEBPG,1.0017883303383446,0.0017867331795266158,0.6857348893888442,0.9931560316153685,1.0104956591460916,265
PLA2G4A,1.003372257380708,0.003366584071781224,0.3776254041632473,0.9958962414267781,1.0109043944567173,265
SPOCK1,0.9985879812247205,-0.0014130166132116945,0.33351391147453996,0.9957323215997671,1.001451830592757,265
CARS2,1.2713662928423846,0.24009214332539183,0.12379793578283593,0.9364422425111364,1.7260778905502716,265
NCOA4,0.9980954529476266,-0.0019063630081926966,0.3668806291479817,0.9939710542620509,1.0022369654761503,265
