gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
CYRIB,1.2555246865215444,0.2275535621235439,0.15579303740713973,0.9169801022183155,1.7190582812556225,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.46813763422339866
WNT7B,1.3600190941134085,0.3074987394386747,0.04437947268047885,1.0077575779583774,1.8354135724786889,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.28565659764146456
PPARA,1.1616354873704926,0.149828915043996,0.27302346702802616,0.8886271929969897,1.5185186950755998,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.570707375426551
GTSE1,1.166674852139445,0.1541576959221697,0.37162664016016866,0.8319142844178521,1.6361423720077997,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6423927514535257
TRMU,1.0605382571919728,0.058776569046109374,0.7942884973648631,0.6817905510745612,1.6496875663575816,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9007271574651419
BRD1,1.3536949862275003,0.3028378804482201,0.09426358711753069,0.9494464819533435,1.9300615153867327,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.38724165298673785
TTLL8,1.2582637230350946,0.22973277306039266,0.2283638313987757,0.8658335926783425,1.8285587555093938,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5350674931376221
TEF,1.0733539505387302,0.07078827928018162,0.7599557278293823,0.6816065282325465,1.6902547957170326,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8840194178297329
ZC3H7B,1.3152243083699677,0.27400722779037534,0.052175588905653984,0.9974234228165947,1.7342834966141925,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3036904747113324
RANGAP1,1.4871386824366664,0.3968539263684563,0.0037163506172890434,1.1374161822079938,1.9443907123830975,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.10113736904425467
L3MBTL2,1.296513096907268,0.2596784276866072,0.07740120077882841,0.9718767277493271,1.729587881319899,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.35640289908591444
RBX1,0.8461996051188696,-0.16700000734852458,0.33653622041105047,0.6019468896376662,1.1895630395803687,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6176102055691733
XPNPEP3,0.7290344799598891,-0.3160342504789591,0.29025738486846553,0.4058634410856176,1.309532269151256,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.584259787094074
ST13,0.713665216701608,-0.3373413107745271,0.18197579787570473,0.4348658976315941,1.1712071337477756,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.4957456167232848
SLC25A17,1.4438943530906336,0.36734387511449834,0.017311183709696802,1.0669828331346447,1.9539498088850038,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.18746754521617295
ADSL,0.8340750269389525,-0.18143192031112437,0.5674781344256085,0.4478213492939935,1.5534791980328333,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7754284622122605
FAM83F,1.1450899176824674,0.13548316464987276,0.5114785746447155,0.7641619942895153,1.715907005813821,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7384722997668494
MIEF1,0.9519980901170041,-0.049192250372401665,0.8423107575905864,0.5863494033116323,1.5456660456508453,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.92519080147618
TAB1,1.0641859586737525,0.062210148838015226,0.8036952975970363,0.6516034853658365,1.7380075154179806,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9052056328975341
SYNGR1,0.9291553764327476,-0.07347930288009283,0.767144688423117,0.5713011656636064,1.5111639279626932,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8867292134876893
CACNA1I,0.748345672807942,-0.2898902783341924,0.3455831744518808,0.4097179647033868,1.3668457188978664,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.622753211326428
DEPTOR,0.7504381218939139,-0.28709808048307184,0.22127716846727538,0.4737168810818157,1.1888057978968278,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5273237059193675
NPTXR,0.8018677797809056,-0.22081154782311765,0.44667174806922394,0.4540570083903653,1.4161039789478622,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6948570179017437
DSCC1,0.8363032149570891,-0.17876403433911522,0.5671304483883131,0.4533919697771784,1.5426013559333396,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7753144608064072
ENPP2,0.7622482162589177,-0.2714830332163237,0.3559615171214764,0.42830714999783964,1.356555320621737,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6302118680093374
JOSD1,1.277695065612138,0.24505772467776074,0.20064475725873115,0.8778644664334923,1.8596318032121713,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5096823214776441
TOMM22,1.1672525917816585,0.15465277528337176,0.5122049277155576,0.7350415723966116,1.8536075566156376,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7391408645570364
CBY1,0.8070619104530738,-0.21435489686037956,0.2627417206828812,0.5546094825397125,1.174428039566608,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5638819521656441
DMC1,1.49352689666047,0.40114036765848,0.016093413324767446,1.077315869395627,2.0705372067893424,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.18243447032975588
